created_at,id,id_str,text,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,user-screen_name,user-location,retweeted_status_screen_name,retweeted_status-text,extended_entities
Mon Feb 07 23:59:12 +0000 2022,1490837579524374532,1490837579524374532,"Capres adalah kewajiban kifayah bagi saya.
 #GusMuhaiminPresiden2024

Politik PKB
Politik Kehadiran
Bukan Politik L… https://t.co/CTaS0oWxwI",True,,,,,,,,,,False,3,3,False,False,False,in,PKBKuningan,,,,
Mon Feb 07 23:58:25 +0000 2022,1490837383905906689,1490837383905906689,"@cakimiNOW Gus Muhaimin adalah Seorang santri yg teruji ilmu agamanya, Sbg Panglima Santri sangat layak diberikan k… https://t.co/5hCGJ2ID6E",True,1.4907002018283725e+18,1490700201828372482,1490116879.0,1490116879,cakimiNOW,,,,,False,0,1,False,False,,in,setiyawan_14,"Bumiayu, Jakarta",,,
Mon Feb 07 23:57:33 +0000 2022,1490837165496233984,1490837165496233984,"Pengrajin Tempe tegal dukung Muhaimin maju di Pikiran 2024
#GusMuhaiminPresiden2024
https://t.co/mP4WGlcTfj",False,,,,,,,,,,False,0,0,False,False,False,in,IsmailMangngaga,"Sulawesi Selatan, Indonesia",,,
Mon Feb 07 23:54:36 +0000 2022,1490836423892934656,1490836423892934656,"RT @sahabatodie: Morning Indonesia...usai subuh meluncur roadshow konsolidasi #ZonaPerubahan2024 #GusMuhaiminPresiden2024 ✊😇🤟
@DPP_PKB 
@Ga…",False,,,,,,,,,,False,2,0,False,False,,in,agus_misni,"Pacitan, Indonesia",sahabatodie,Morning Indonesia...usai subuh meluncur roadshow konsolidasi #ZonaPerubahan2024 #GusMuhaiminPresiden2024 ✊😇🤟… https://t.co/TFUCbraGwz,
Mon Feb 07 23:53:56 +0000 2022,1490836254233346048,1490836254233346048,"RT @fibiirawanse: Jangan mau diadu domba, ayo guyup rukun, maju bersama Gus Muhaimin @cakimiNOW #GusMuhaiminPresiden2024 

@dpcpkbpacitan1…",False,,,,,,,,,,False,10,0,False,False,,in,agus_misni,"Pacitan, Indonesia",fibiirawanse,"Jangan mau diadu domba, ayo guyup rukun, maju bersama Gus Muhaimin @cakimiNOW #GusMuhaiminPresiden2024… https://t.co/dxkMWCa19a",
Mon Feb 07 23:49:01 +0000 2022,1490835019170217984,1490835019170217984,"@Brigade01Arwan1 Mantap, bergerak terus.... 
Sampai saatnya #GusMuhaiminPresiden2024
Aamiin Allahumma berkah",False,1.4904574747421778e+18,1490457474742177793,9.111062040588943e+17,911106204058894336,Brigade01Arwan1,,,,,False,1,5,False,False,,in,SukoyoKasekpro,,,,
Mon Feb 07 23:48:38 +0000 2022,1490834923430690820,1490834923430690820,"RT @Raizunabumi: Selamat atas diresmikannya 
#MABESRAKYAT
MAJU BERSAMA RAKYAT
#GusMuhaiminPresiden2024 https://t.co/X2wmUe3GvW",False,,,,,,,,,,False,1,0,False,False,False,in,SamJaya44891303,,Raizunabumi,"Selamat atas diresmikannya 
#MABESRAKYAT
MAJU BERSAMA RAKYAT
#GusMuhaiminPresiden2024 https://t.co/X2wmUe3GvW","{'media': [{'id': 1490589120099336192, 'id_str': '1490589120099336192', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1490589120099336192/pu/img/tXzieSDKFiIZM7U9.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1490589120099336192/pu/img/tXzieSDKFiIZM7U9.jpg', 'url': 'https://t.co/X2wmUe3GvW', 'display_url': 'pic.twitter.com/X2wmUe3GvW', 'expanded_url': 'https://twitter.com/Raizunabumi/status/1490589314241032193/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 848, 'resize': 'fit'}, 'small': {'w': 385, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 848, 'resize': 'fit'}}, 'source_status_id': 1490589314241032193, 'source_status_id_str': '1490589314241032193', 'source_user_id': 1481485776500441089, 'source_user_id_str': '1481485776500441089', 'video_info': {'aspect_ratio': [30, 53], 'duration_millis': 44814, 'variants': [{'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1490589120099336192/pu/vid/480x848/qOR3XVEF22I_2nLb.mp4?tag=12'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1490589120099336192/pu/pl/hSkjg0LXNNrz6D0a.m3u8?tag=12&container=fmp4'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1490589120099336192/pu/vid/320x564/ZtcSHduUN2Ed-J2x.mp4?tag=12'}]}, 'additional_media_info': {'monetizable': False, 'source_user': {'id': 1481485776500441089, 'id_str': '1481485776500441089', 'name': 'retra', 'screen_name': 'Raizunabumi', 'location': '', 'description': 'writers, reading n sosial worker', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 6, 'friends_count': 10, 'listed_count': 0, 'created_at': 'Thu Jan 13 04:38:46 +0000 2022', 'favourites_count': 33, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 66, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1490132514878361600/ziTIKij0_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1490132514878361600/ziTIKij0_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}}}]}"
