user_name,nama,id,retweet_count,author,mention,date,text,hashtags,source
mbahsubono,Mbah subono,1438129622441283587,10,AlbaOke,AlbaOke,2022-01-13 06:18:53+00:00,"RT @AlbaOke: Jelas si Haikal nyebar hoax dana haji dipakai pak Jokowi, tangkap segera! 

#TangkapAbdulSomad 
#TangkapRockyGerung 
#TangkapH…","['TangkapAbdulSomad', 'TangkapRockyGerung']",Twitter for Android
Yunus05675952,Yunus,1459156292287614977,31,OposisiCerdas,OposisiCerdas,2022-01-13 06:18:51+00:00,"RT @OposisiCerdas: Immanuel Ebenezer Bakal Polisikan Pelapor Anak Jokowi, Delik Memberi Keterangan Palsu
https://t.co/DYPLw9wDdi",,Twitter for iPhone
